shared_distinct_shell_count,distinct_union_shell_count,union_shells,type_multiset_pair,pair_count
1,4,66 102 136 194,B B C|A B C,2
1,4,66 102 136 206,B B C|A B C,2
1,4,66 102 136 234,B B C|A B C,2
1,4,66 102 146 164,B B C|A B C,2
1,4,66 102 158 244,B B C|A B C,2
1,4,66 102 164 194,B B C|A B C,2
1,4,66 102 186 244,B B C|A B C,2
1,4,66 102 206 212,B B C|A B C,2
1,4,66 102 212 222,B B C|A B C,2
1,4,66 102 218 244,B B C|A B C,2
1,4,66 102 222 244,B B C|A B C,2
1,4,66 102 234 244,B B C|A B C,2
1,4,66 102 244 254,B B C|A B C,2
1,4,66 104 110 250,B B C|A B C,2
1,4,66 110 114 170,B B C|A B C,2
1,4,66 110 114 212,B B C|A B C,2
1,4,66 110 114 244,B B C|A B C,2
1,4,66 110 114 250,B B C|A B C,2
1,4,66 110 122 170,B B C|A B C,2
1,4,66 110 122 250,B B C|A B C,2
1,4,66 110 126 136,B B C|A B C,2
1,4,66 110 126 212,B B C|A B C,2
1,4,66 110 126 244,B B C|A B C,2
1,4,66 110 126 250,B B C|A B C,2
1,4,66 110 134 136,B B C|A B C,2
1,4,66 110 134 170,B B C|A B C,2
1,4,66 110 134 250,B B C|A B C,2
1,4,66 110 136 146,B B C|A B C,2
1,4,66 110 136 194,B B C|A B C,2
1,4,66 110 136 254,B B C|A B C,2
1,4,66 110 146 170,B B C|A B C,2
1,4,66 110 146 244,B B C|A B C,2
1,4,66 110 146 250,B B C|A B C,2
1,4,66 110 150 170,B B C|A B C,2
1,4,66 110 150 250,B B C|A B C,2
1,4,66 110 158 170,B B C|A B C,2
1,4,66 110 158 212,B B C|A B C,2
1,4,66 110 158 244,B B C|A B C,2
1,4,66 110 158 250,B B C|A B C,2
1,4,66 110 168 250,B B C|A B C,2
1,4,66 110 170 182,B B C|A B C,2
1,4,66 110 170 206,B B C|A B C,2
1,4,66 110 170 218,B B C|A B C,2
1,4,66 110 170 222,B B C|A B C,2
1,4,66 110 170 234,B B C|A B C,2
1,4,66 110 170 248,B B C|A B C,2
1,4,66 110 170 254,B B C|A B C,2
1,4,66 110 182 250,B B C|A B C,2
1,4,66 110 186 250,B B C|A B C,2
1,4,66 110 194 212,B B C|A B C,2
1,4,66 110 194 244,B B C|A B C,2
1,4,66 110 194 250,B B C|A B C,2
1,4,66 110 206 212,B B C|A B C,2
1,4,66 110 206 244,B B C|A B C,2
1,4,66 110 206 250,B B C|A B C,2
1,4,66 110 212 254,B B C|A B C,2
1,4,66 110 216 250,B B C|A B C,2
1,4,66 110 218 250,B B C|A B C,2
1,4,66 110 222 244,B B C|A B C,2
1,4,66 110 244 254,B B C|A B C,2
1,4,66 110 250 254,B B C|A B C,2
1,4,66 114 130 164,B B C|A B C,2
1,4,66 114 130 170,B B C|A B C,2
1,4,66 114 130 212,B B C|A B C,2
1,4,66 114 130 244,B B C|A B C,2
1,4,66 114 130 250,B B C|A B C,2
1,4,66 114 164 170,B B C|A B C,2
1,4,66 114 164 212,B B C|A B C,2
1,4,66 114 164 244,B B C|A B C,2
1,4,66 114 164 250,B B C|A B C,2
1,4,66 114 170 212,B B C|A B C,2
1,4,66 114 170 244,B B C|A B C,2
1,4,66 114 170 250,B B C|A B C,2
1,4,66 114 212 244,B B C|A B C,2
1,4,66 114 212 250,B B C|A B C,2
1,4,66 114 244 250,B B C|A B C,2
1,4,66 118 134 164,B B C|A B C,2
1,4,66 118 146 164,B B C|A B C,2
1,4,66 118 164 182,B B C|A B C,2
1,4,66 118 164 194,B B C|A B C,2
1,4,66 122 130 160,B B C|A B C,2
1,4,66 122 130 164,B B C|A B C,2
1,4,66 122 130 170,B B C|A B C,2
1,4,66 122 130 180,B B C|A B C,2
1,4,66 122 130 208,B B C|A B C,2
1,4,66 122 130 212,B B C|A B C,2
